"k__Archaea;p__Crenarchaeota" "k__Archaea;p__Euryarchaeota" "k__Archaea;p__[Parvarchaeota]" "k__Bacteria;p__" "k__Bacteria;p__AD3" "k__Bacteria;p__Acidobacteria" "k__Bacteria;p__Actinobacteria" "k__Bacteria;p__AncK6" "k__Bacteria;p__Aquificae" "k__Bacteria;p__Armatimonadetes" "k__Bacteria;p__BHI80-139" "k__Bacteria;p__BRC1" "k__Bacteria;p__Bacteroidetes" "k__Bacteria;p__Caldithrix" "k__Bacteria;p__Chlamydiae" "k__Bacteria;p__Chlorobi" "k__Bacteria;p__Chloroflexi" "k__Bacteria;p__Cyanobacteria" "k__Bacteria;p__Deferribacteres" "k__Bacteria;p__Elusimicrobia" "k__Bacteria;p__FBP" "k__Bacteria;p__FCPU426" "k__Bacteria;p__Fibrobacteres" "k__Bacteria;p__Firmicutes" "k__Bacteria;p__Fusobacteria" "k__Bacteria;p__GAL15" "k__Bacteria;p__GN02" "k__Bacteria;p__GN04" "k__Bacteria;p__GOUTA4" "k__Bacteria;p__Gemmatimonadetes" "k__Bacteria;p__LD1" "k__Bacteria;p__Lentisphaerae" "k__Bacteria;p__MVP-21" "k__Bacteria;p__NC10" "k__Bacteria;p__NKB19" "k__Bacteria;p__Nitrospirae" "k__Bacteria;p__OD1" "k__Bacteria;p__OP1" "k__Bacteria;p__OP11" "k__Bacteria;p__OP3" "k__Bacteria;p__OP8" "k__Bacteria;p__OP9" "k__Bacteria;p__PAUC34f" "k__Bacteria;p__Planctomycetes" "k__Bacteria;p__Proteobacteria" "k__Bacteria;p__SAR406" "k__Bacteria;p__SBR1093" "k__Bacteria;p__SR1" "k__Bacteria;p__Spirochaetes" "k__Bacteria;p__Synergistetes" "k__Bacteria;p__TM6" "k__Bacteria;p__TM7" "k__Bacteria;p__TPD-58" "k__Bacteria;p__Tenericutes" "k__Bacteria;p__Thermotogae" "k__Bacteria;p__Verrucomicrobia" "k__Bacteria;p__WPS-2" "k__Bacteria;p__WS1" "k__Bacteria;p__WS2" "k__Bacteria;p__WS3" "k__Bacteria;p__WS4" "k__Bacteria;p__WWE1" "k__Bacteria;p__ZB3" "k__Bacteria;p__[Caldithrix]" "k__Bacteria;p__[Thermi]"
"10317.000030426" 0 0 0 0 0 0 0.576679235901048 0 0 0 0 0 0.00161604442050305 0 0 0 0 8.287407284631e-05 0 0 0 0 0 0.348278291136619 0.000124311109269465 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0720175693034434 0 0 0 0 0 0 0.0012016740562715 0 0 0 0 0 0 0 0 0 0 0 0 0
"10317.000012458" 0 0 0 0 0 0 0.00590199935947294 0 0 0 0 0 0.371757331747266 0 0 0 0 0.00148693782312303 0 0 0 0 0 0.578510317060895 9.15038660383401e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0393009104634671 0 0 0 0 0 0 2.2875966509585e-05 0 0.0024477284165256 0 0.000480395296701286 0 0 0 0 0 0 0 0 0
"10317.000016449" 0.000520969002344361 0.000651211252930451 0 0 0 0.000781453503516541 0.0562646522531909 0.00013024225058609 0 0 0 0 0.27181557697317 0 0 0 0.00143266475644699 0.00013024225058609 0 0 0 0 0 0.640401146131806 0.00026048450117218 0 0 0 0 0.000520969002344361 0 0.00013024225058609 0 0 0 0.00039072675175827 0 0 0 0 0 0 0 0.00013024225058609 0.013024225058609 0 0 0 0 0 0 0 0 0.0112008335504038 0 0.00221411825996353 0 0 0 0 0 0 0 0 0
"10317.000067969" 0 0 0 0 0 0 0.0187315266550337 0 0 0 0 0 0.587514689647806 0 0 0 0 3.56112674050069e-05 0 0 0 0 0 0.3549018909583 3.56112674050069e-05 0 0 0 0 0 0 7.12225348100139e-05 0 0 0 0 0 0 0 0 0 0 0 0 0.0382108899255724 0 0 0 0 0 0 0 0 7.12225348100139e-05 0 0.000427335208860083 0 0 0 0 0 0 0 0 0
"10317.000067486" 0 0 0 0 0 0 0.00482724181390151 0 0 0 0 0 0.435093810191901 0 0 0 0 4.75590326492759e-05 0 0 0 0 0 0.542030295103798 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.017929755308777 0 0 0 0 0 0 0 0 0 0 7.13385489739139e-05 0 0 0 0 0 0 0 0 0
"10317.000067887" 0 0 0 0 0 0 0.0102733087807715 0 0 0 0 0 0.311882147703043 0 0 0 0 0 0 0 0 0 0 0.610777282419075 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0584900174452413 0 0 0 0 0 0 0 0 0.00857724365187052 0 0 0 0 0 0 0 0 0 0 0
"10317.000042873" 0 0 0 0 0 0 0.0321059721598563 0 0 0 0 0 0.282723394701392 0 0 0 0 0 0 0 0 0 0 0.665581499775482 0 0 0 0 0 0 0 0.000168387965873372 0 0 0 0 0 0 0 0 0 0 0 0 0.0122361921867984 0 0 0 0 0 0 0 0 0.00129097440502919 0 0.00583744948361024 0 0 0 0 0 0 0 0 5.61293219577907e-05
"10317.000030376" 0 0 0 0 0 0 0 0 0 0 0 0 0.532663316582915 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.467336683417085 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"10317.000027390" 0 0 0 0 0 5.7027173448148e-05 0.0757320863391406 0 0 0 0 0 0.148327678138633 0 0 0 0 0 0 0 0 0 0 0.775484018134639 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00014256793362037 0 0 0 0 0 0 0 0 0 0 0.000256622280516666 0 0 0 0 0 0 0 0 0
"10317.000039852" 0 0 0 0 0 0 0.00237906423473434 0 0 0 0 0 0.518636003172085 0 0 0 0 0 0 0 0 0 0 0.287980061175937 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0116687436275065 0 0 0 0 0 0 0 0 0 0 0.179336127789736 0 0 0 0 0 0 0 0 0
"10317.000017123" 0 0 0 0 0 0 0.00396799370367941 0 0 0 0 0 0.395258083557421 0 0 0 0 9.83800091821342e-05 0 0 0 0 0 0.557289958680398 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0087230274808159 0 0 0 0 0 0 0 0 0.00646028726962681 0 0.0282022692988785 0 0 0 0 0 0 0 0 0
"10317.000062200" 0 0 0 0 0 0 0.021954484605087 0 0 0 0 0 0.39132530120482 0 0 0 0 5.35475234270415e-05 0 0 0 0 0 0.526854082998663 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0555823293172691 0 0 0 0 0 0 0 0 0.00037483266398929 0 0.0037483266398929 0 0 0 0 0 0 0 0 0.000107095046854083
"10317.000016755" 0 0 0 0 0 0 0.0261016949152542 0 0 0 0 0 0.0477966101694916 0 0 0 0 0.00149152542372881 0 0 0 0 0 0.902237288135595 0.000135593220338983 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00311864406779661 0 0 0 0 0 0 0 0 0.0189152542372881 0 0.000135593220338983 0 0 0 0 0 0 0 0 6.77966101694915e-05
"10317.000067910" 0 0 0 0 0 0 0.00442403303277998 0 0 0 0 0 0.709614898457909 0 0 0 0 0 0 0 0 0 0 0.237633774332181 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0478638240498862 0 0 0 0 0 0 0 0 0 0 0.000421336479312379 0 0 0 0 0 0 0 0 4.21336479312379e-05
"10317.000033706" 0 0 0 0 0 0.000113126437648478 0.00644820694596327 0 0 0 0 0 0.682454089520721 0 0 0 0 0.000791885063539349 0 0 0 0 0 0.278291036615258 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0298653795391983 0 0 0 0 0 0 0 0 0 0 0.00203627587767261 0 0 0 0 0 0 0 0 0
